Timestamp,Symbol,Direction,Entry_Price,Exit_Price,Quantity,Margin_USDT,PNL_USDT,PNL_Percent,Exit_Reason,Duration_Minutes
2025-11-25 15:24:38,SOLUSDT,LONG,,,,,-10.36,-10.60%,SL,
2025-11-25 15:25:09,SOLUSDT,LONG,,,,,-10.78,-11.04%,SL,
2025-11-25 15:25:43,SOLUSDT,LONG,,,,,-10.08,-10.32%,SL,
2025-11-25 15:29:20,ETHUSDT,LONG,,,,,-8.35,-8.39%,SL,
2025-11-25 15:36:35,SOLUSDT,LONG,,,,,-9.03,-9.27%,SL,
2025-11-25 15:47:17,BNBUSDT,LONG,,,,,-17.14,-8.60%,SL,
2025-11-25 15:52:43,BTCUSDT,LONG,,,,,-16.15,-8.04%,SL,
2025-11-25 16:23:43,SOLUSDT,SHORT,,,,,-12.10,-12.37%,SL,
2025-11-25 16:23:44,ETHUSDT,SHORT,,,,,-8.07,-8.04%,SL,
2025-11-25 16:24:19,SOLUSDT,SHORT,,,,,-25.20,-12.88%,SL,
2025-11-25 16:24:55,SOLUSDT,SHORT,,,,,-11.17,-11.43%,SL,
2025-11-25 16:25:33,SOLUSDT,SHORT,,,,,-22.68,-11.60%,SL,
2025-11-25 17:05:23,ETHUSDT,SHORT,,,,,10.94,5.49%,TP,
2025-11-25 17:17:35,SOLUSDT,SHORT,,,,,-7.84,-8.05%,SL,
2025-11-25 17:30:55,ETHUSDT,SHORT,,,,,-8.34,-8.31%,SL,
2025-11-25 17:40:02,BNBUSDT,SHORT,,,,,-16.09,-8.00%,SL,
2025-11-25 17:40:35,SOLUSDT,LONG,,,,,12.12,4.12%,TP,
2025-11-25 17:40:35,SOLUSDT,LONG,,,,,12.12,4.12%,TP,
2025-11-25 17:41:12,SOLUSDT,LONG,,,,,10.08,5.13%,TP,
2025-11-25 17:41:12,SOLUSDT,LONG,,,,,10.08,5.13%,TP,
2025-11-25 17:41:15,SOLUSDT,LONG,,,,,4.34,4.42%,TP,
2025-11-25 17:41:53,ETHUSDT,LONG,,,,,12.93,4.30%,TP,
2025-11-25 17:42:29,SOLUSDT,LONG,,,,,5.41,9.63%,TP,
2025-11-25 17:42:29,ETHUSDT,LONG,,,,,5.39,5.37%,TP,
2025-11-25 17:42:29,ETHUSDT,LONG,,,,,10.65,5.31%,TP,
2025-11-25 17:42:30,BTCUSDT,LONG,,,,,4.26,6.90%,TP,
2025-11-25 17:42:30,BTCUSDT,LONG,,,,,4.22,6.84%,TP,
2025-11-25 17:42:31,ETHUSDT,LONG,,,,,4.93,4.91%,TP,
2025-11-25 17:43:46,SOLUSDT,LONG,,,,,14.88,5.04%,TP,
2025-11-25 17:43:46,ETHUSDT,LONG,,,,,11.41,5.17%,TP,
2025-11-25 17:43:52,SOLUSDT,LONG,,,,,4.58,4.66%,TP,
2025-11-25 17:55:38,SOLUSDT,LONG,,,,,-8.58,-8.77%,SL,
2025-11-25 17:55:39,ETHUSDT,LONG,,,,,-9.44,-9.49%,SL,
2025-11-25 18:02:48,BNBUSDT,LONG,,,,,12.33,4.10%,TP,
2025-11-25 18:34:23,SOLUSDT,SHORT,,,,,6.09,6.26%,TP,
2025-11-25 18:37:15,ETHUSDT,SHORT,,,,,1.90,4.75%,TP,
2025-11-25 18:58:27,BTCUSDT,LONG,,,,,-24.25,-8.02%,SL,
2025-11-25 19:07:33,BNBUSDT,LONG,,,,,-24.17,-8.10%,SL,
2025-11-25 19:33:09,SOLUSDT,SHORT,,,,,13.17,4.51%,TP,
2025-11-25 19:33:09,ETHUSDT,SHORT,,,,,9.18,4.60%,TP,
2025-11-25 19:33:19,BNBUSDT,SHORT,,,,,4.55,4.57%,TP,
2025-11-25 19:33:50,BNBUSDT,SHORT,,,,,4.43,4.44%,TP,
2025-11-25 19:34:01,BNBUSDT,SHORT,,,,,4.69,4.70%,TP,
2025-11-25 19:34:33,ETHUSDT,SHORT,,,,,10.37,5.20%,TP,
2025-11-25 19:36:20,BNBUSDT,SHORT,,,,,8.26,4.13%,TP,
2025-11-25 19:40:29,ETHUSDT,SHORT,,,,,15.89,5.31%,TP,
2025-11-25 19:40:29,ETHUSDT,SHORT,,,,,15.89,5.31%,TP,
2025-11-25 19:40:30,BTCUSDT,SHORT,,,,,8.80,4.38%,TP,
2025-11-25 19:40:30,BTCUSDT,SHORT,,,,,8.80,4.38%,TP,
2025-11-25 19:40:30,BTCUSDT,SHORT,,,,,8.80,4.38%,TP,
2025-11-25 19:41:43,SOLUSDT,SHORT,,,,,16.59,5.71%,TP,
2025-11-25 19:41:43,SOLUSDT,SHORT,,,,,16.59,5.71%,TP,
2025-11-25 19:41:43,SOLUSDT,SHORT,,,,,16.59,5.71%,TP,
2025-11-25 19:41:43,ETHUSDT,SHORT,,,,,12.15,4.06%,TP,
2025-11-25 19:41:43,ETHUSDT,SHORT,,,,,12.15,4.06%,TP,
2025-11-25 19:41:43,BNBUSDT,SHORT,,,,,8.31,4.16%,TP,
2025-11-25 19:41:44,BNBUSDT,SHORT,,,,,8.31,4.16%,TP,
2025-11-25 19:41:44,ETHUSDT,SHORT,,,,,12.15,4.06%,TP,
2025-11-25 19:41:45,BNBUSDT,SHORT,,,,,8.31,4.16%,TP,
2025-11-25 19:50:16,SOLUSDT,SHORT,,,,,13.77,4.74%,TP,
2025-11-25 19:51:22,ETHUSDT,SHORT,,,,,2.46,4.10%,TP,
2025-11-25 19:52:04,SOLUSDT,SHORT,,,,,11.62,4.01%,TP,
2025-11-25 19:54:51,ETHUSDT,SHORT,,,,,6.20,6.23%,TP,
2025-11-25 19:54:52,ETHUSDT,SHORT,,,,,6.20,6.23%,TP,
2025-11-25 20:10:17,BNBUSDT,SHORT,,,,,2.94,4.92%,TP,
2025-11-25 20:10:17,BNBUSDT,SHORT,,,,,2.75,4.61%,TP,
2025-11-25 20:11:30,SOLUSDT,SHORT,,,,,2.04,4.93%,TP,
2025-11-25 20:17:39,BNBUSDT,SHORT,,,,,12.37,4.12%,TP,
2025-11-25 20:27:38,SOLUSDT,SHORT,,,,,-25.54,-8.20%,SL,
2025-11-25 21:16:51,ETHUSDT,SHORT,,,,,-24.90,-8.27%,SL,
2025-11-25 21:20:57,BNBUSDT,SHORT,,,,,-24.49,-8.13%,SL,
2025-11-25 21:21:35,SOLUSDT,LONG,,,,,2.62,4.73%,TP,
2025-11-25 21:40:23,BTCUSDT,LONG,,,,,13.17,4.35%,TP,
2025-11-25 21:40:23,BTCUSDT,LONG,,,,,13.17,4.35%,TP,
2025-11-25 21:55:23,SOLUSDT,LONG,,,,,3.20,5.75%,TP,
2025-11-25 22:09:53,ETHUSDT,LONG,,,,,18.19,6.05%,TP,
2025-11-25 22:09:54,ETHUSDT,LONG,,,,,18.19,6.05%,TP,
2025-11-25 22:18:42,ETHUSDT,LONG,,,,,-8.87,-8.90%,SL,
2025-11-25 22:21:30,SOLUSDT,LONG,,,,,-7.84,-8.09%,SL,
2025-11-25 22:52:34,SOLUSDT,LONG,,,,,13.81,4.71%,TP,
2025-11-25 22:53:15,BTCUSDT,LONG,,,,,4.07,4.03%,TP,
2025-11-25 22:57:37,SOLUSDT,LONG,,,,,12.18,4.15%,TP,
2025-11-25 22:57:37,SOLUSDT,LONG,,,,,12.18,4.15%,TP,
2025-11-26 00:11:09,BNBUSDT,LONG,,,,,-29.47,-9.87%,SL,
2025-11-26 00:14:51,ETHUSDT,SHORT,,,,,14.38,4.81%,TP,
2025-11-26 00:14:51,ETHUSDT,SHORT,,,,,13.95,4.66%,TP,
2025-11-26 00:14:54,SOLUSDT,LONG,,,,,-23.94,-8.19%,SL,
2025-11-26 00:21:29,BNBUSDT,SHORT,,,,,2.78,4.64%,TP,
2025-11-26 00:21:31,BNBUSDT,SHORT,,,,,2.78,4.64%,TP,
2025-11-26 00:37:19,SOLUSDT,SHORT,,,,,2.36,4.28%,TP,
2025-11-26 00:37:20,SOLUSDT,SHORT,,,,,2.36,4.28%,TP,
2025-11-26 00:37:20,SOLUSDT,SHORT,,,,,2.36,4.28%,TP,
2025-11-26 00:38:31,ETHUSDT,LONG,,,,,-26.29,-8.80%,SL,
2025-11-26 00:38:32,BTCUSDT,LONG,,,,,-16.40,-8.16%,SL,
2025-11-26 01:06:52,SOLUSDT,SHORT,,,,,33.46,11.61%,TP,
